state,type,rate,bracket,cumBracket
South Carolina,single,0.06,14400,43200
South Carolina,single,0.07,Inf,Inf
South Carolina,joint,0,2880,2880
South Carolina,joint,0.03,5760,8640
South Carolina,joint,0.04,8640,17280
South Carolina,joint,0.05,11520,28800
South Carolina,joint,0.06,14400,43200
South Carolina,joint,0.07,Inf,Inf
Tennessee,single,0.06,Inf,Inf
Tennessee,joint,0.06,Inf,Inf
Texas,single,0,Inf,Inf
Texas,joint,0,Inf,Inf
Utah,single,0.05,Inf,Inf
Utah,joint,0.05,Inf,Inf
Vermont,single,0.0355,36900,36900
Vermont,single,0.068,89350,126250
Vermont,single,0.078,186350,312600
Vermont,single,0.088,405100,717700
Vermont,single,0.0895,Inf,Inf
Vermont,joint,0.0355,73800,73800
Vermont,joint,0.068,148850,222650
Vermont,joint,0.078,226850,449500
Vermont,joint,0.088,405100,854600
Vermont,joint,0.0895,Inf,Inf
Virginia,single,0.02,3000,3000
Virginia,single,0.03,5000,8000
Virginia,single,0.05,17000,25000
Virginia,single,0.0575,Inf,Inf
Virginia,joint,0.02,3000,3000
Virginia,joint,0.03,5000,8000
Virginia,joint,0.05,17000,25000
Virginia,joint,0.0575,Inf,Inf
Washington,single,0,Inf,Inf
Washington,joint,0,Inf,Inf
West Virginia,single,0.03,10000,10000
West Virginia,single,0.04,25000,35000
West Virginia,single,0.045,40000,75000
West Virginia,single,0.06,60000,135000
West Virginia,single,0.065,Inf,Inf
West Virginia,joint,0.03,10000,10000
West Virginia,joint,0.04,25000,35000
West Virginia,joint,0.045,40000,75000
West Virginia,joint,0.06,60000,135000
West Virginia,joint,0.065,Inf,Inf
Wisconsin,single,0.04,10910,10910
Wisconsin,single,0.0584,21820,32730
Wisconsin,single,0.0627,240190,272920
Wisconsin,single,0.0765,Inf,Inf
Wisconsin,joint,0.04,14540,14540
Wisconsin,joint,0.0584,29090,43630
Wisconsin,joint,0.0627,320250,363880
Wisconsin,joint,0.0765,Inf,Inf
Wyoming,single,0,Inf,Inf
Wyoming,joint,0,Inf,Inf
D.C.,single,0.04,10000,10000
D.C.,single,0.06,40000,50000
D.C.,single,0.085,350000,4.00E+05
D.C.,single,0.0895,Inf,Inf
D.C.,joint,0.04,10000,10000
D.C.,joint,0.06,40000,50000
D.C.,joint,0.085,350000,4.00E+05
D.C.,joint,0.0895,Inf,Inf
